[2025-12-13 12:26:11] | USER:NA | IP:::1 | FILE:/jaysanERP/php/delete_app_all.php | SQL:DELETE from app_menu WHERE role = '' OR '1'='1'
[2025-12-13 12:48:36] | USER:NA | IP:::1 | FILE:/jaysanERP/php/delete_organization.php | SQL:DELETE from role_assign WHERE id = '20'
[2025-12-13 14:20:39] | USER:NA | IP:::1 | FILE:/jaysanERP/php/del_wel_process1.php | SQL:DELETE from process_wel_tbl WHERE process_id = 2504
[2025-12-13 14:20:39] | USER:NA | IP:::1 | FILE:/jaysanERP/php/del_wel_process1.php | SQL:DELETE from process_wel_tbl WHERE process_id = 2505
[2025-12-13 14:20:39] | USER:NA | IP:::1 | FILE:/jaysanERP/php/del_wel_process1.php | SQL:DELETE from process_wel_tbl WHERE process_id = 2506
[2025-12-13 14:21:42] | USER:NA | IP:::1 | FILE:/jaysanERP/php/delete_work_entry.php | SQL:DELETE FROM work_process WHERE work_id = '859'
[2025-12-13 14:21:42] | USER:NA | IP:::1 | FILE:/jaysanERP/php/delete_work_entry.php | SQL:DELETE FROM work_break WHERE work_id = '859'
[2025-12-13 14:21:42] | USER:NA | IP:::1 | FILE:/jaysanERP/php/delete_work_entry.php | SQL:DELETE FROM work_done_table WHERE work_id = '859'
[2025-12-19 06:46:44] | USER:NA | IP:::1 | FILE:/jaysanERP/php/update_material_request_form.php | SQL:DELETE FROM internal_godown_stock_physical WHERE mrf_id='1022'
[2025-12-19 06:52:15] | USER:NA | IP:::1 | FILE:/jaysanERP/php/update_material_request_form_tally.php | SQL:DELETE FROM internal_godown_stock_tally WHERE mrf_id='1022'
[2025-12-29 10:45:59] | USER:NA | IP:::1 | FILE:/jaysanERP/php/update_bom.php | SQL:DELETE from bom_output WHERE bom_id = '5004 '
[2025-12-29 10:47:53] | USER:NA | IP:::1 | FILE:/jaysanERP/php/update_bom.php | SQL:DELETE from bom_output WHERE bom_id = '10559 '
[2025-12-29 10:48:16] | USER:NA | IP:::1 | FILE:/jaysanERP/php/update_bom.php | SQL:DELETE from bom_output WHERE bom_id = '10560 '
[2025-12-29 10:48:45] | USER:NA | IP:::1 | FILE:/jaysanERP/php/update_bom.php | SQL:DELETE from bom_output WHERE bom_id = '10561 '
[2025-12-29 12:20:22] | USER:NA | IP:::1 | FILE:/jaysanERP/php/update_bom.php | SQL:DELETE from bom_output WHERE bom_id = '1006 '
[2025-12-29 12:21:19] | USER:NA | IP:::1 | FILE:/jaysanERP/php/update_bom.php | SQL:DELETE from bom_output WHERE bom_id = '1003 '
[2025-12-29 12:22:11] | USER:NA | IP:::1 | FILE:/jaysanERP/php/update_bom.php | SQL:DELETE from bom_output WHERE bom_id = '10563 '
[2025-12-29 12:45:53] | USER:NA | IP:::1 | FILE:/jaysanERP/php/update_bom.php | SQL:DELETE from bom_output WHERE bom_id = '10564 '
[2026-01-05 10:17:02] | USER:141 | IP:::1 | FILE:/jaysanERP/php/delete_model_type.php | SQL:DELETE from jaysan_model_type WHERE mtid = '65'
